slice_id,mae,mse,psnr,ssim,lpips
YG_0KEDXC8XKCKQ_0_1_z123,0.04636535793542862,0.008391624316573143,20.761539482360174,0.6345986801827268,0.311379611492157
YG_0KEDXC8XKCKQ_0_1_z126,0.06266537308692932,0.012940123677253723,18.880615696574782,0.5950737711008435,0.30351585149765015
YG_0KEDXC8XKCKQ_0_1_z129,0.0569777674973011,0.012569436803460121,19.00684179812341,0.5846530775502002,0.34247130155563354
YG_0KEDXC8XKCKQ_0_1_z132,0.07714765518903732,0.018990829586982727,17.214560490499615,0.5745114253369442,0.3449186086654663
YG_0KEDXC8XKCKQ_0_1_z135,0.0753149688243866,0.014983369037508965,18.243905582427175,0.5901298295925497,0.3355581760406494
YG_0KEDXC8XKCKQ_0_1_z138,0.05478433147072792,0.01052278932183981,19.77869116599026,0.5817615921583412,0.32894647121429443
YG_0KEDXC8XKCKQ_0_1_z141,0.05465181544423103,0.010197145864367485,19.915213791901103,0.5475405223684618,0.3681338429450989
YG_0KEDXC8XKCKQ_0_1_z144,0.04844166338443756,0.008290520869195461,20.814181518708086,0.6091043145074879,0.3200087547302246
YG_0KEDXC8XKCKQ_0_1_z147,0.04768053814768791,0.008100487291812897,20.914888683197784,0.6301322823964753,0.298236608505249
YG_0KEDXC8XKCKQ_0_1_z150,0.04410975053906441,0.007891940884292126,21.028161852439688,0.6212181048250244,0.313148558139801
YG_0KEDXC8XKCKQ_0_1_z153,0.06305929273366928,0.01268256176263094,18.967930157816294,0.5964353871040008,0.36467355489730835
YG_0KEDXC8XKCKQ_0_1_z156,0.05956880375742912,0.010401508770883083,19.82903652577779,0.643487797387606,0.30643415451049805
YG_0KEDXC8XKCKQ_0_1_z159,0.04942375048995018,0.00968816876411438,20.13758304581434,0.6262904778925144,0.328988641500473
YG_0KEDXC8XKCKQ_0_1_z162,0.05041981488466263,0.009087672457098961,20.415473498986888,0.5982983224003099,0.3686522841453552
YG_0KEDXC8XKCKQ_0_1_z165,0.05435797572135925,0.010130682028830051,19.94361346258644,0.6159783356954516,0.36676010489463806
YG_0KEDXC8XKCKQ_0_2_z123,0.06679586321115494,0.013251719996333122,18.77727746515057,0.5894204952818797,0.35386383533477783
YG_0KEDXC8XKCKQ_0_2_z126,0.06861338019371033,0.013458219356834888,18.71012378450056,0.608474932436757,0.29808956384658813
YG_0KEDXC8XKCKQ_0_2_z129,0.05609593167901039,0.0103722233325243,19.84128102721057,0.6037245504078695,0.312264621257782
YG_0KEDXC8XKCKQ_0_2_z132,0.08925078064203262,0.019071882590651512,17.196064066125412,0.4932661314926081,0.4267241954803467
YG_0KEDXC8XKCKQ_0_2_z135,0.06290845572948456,0.010971002280712128,19.59753729177339,0.6108931603211125,0.2803894579410553
YG_0KEDXC8XKCKQ_0_2_z138,0.04717155918478966,0.007758898660540581,21.101999068363252,0.6309773951776044,0.27740007638931274
YG_0KEDXC8XKCKQ_0_2_z141,0.04601186513900757,0.007642137352377176,21.16785154395657,0.6426357626485056,0.2672446072101593
YG_0KEDXC8XKCKQ_0_2_z144,0.05259867385029793,0.008438006043434143,20.73760143765319,0.5892699128908995,0.3059580624103546
YG_0KEDXC8XKCKQ_0_2_z147,0.051263533532619476,0.008474397473037243,20.718912014188057,0.6349685726892123,0.2665592133998871
YG_0KEDXC8XKCKQ_0_2_z150,0.04426420107483864,0.006487186998128891,21.8794357830453,0.647183940069878,0.23201018571853638
YG_0KEDXC8XKCKQ_0_2_z153,0.04199889302253723,0.006127532571554184,22.127143926274577,0.6599240338265673,0.2559693455696106
YG_0KEDXC8XKCKQ_0_2_z156,0.06534590572118759,0.011494048871099949,19.39526964749487,0.6441155619768598,0.299287885427475
YG_0KEDXC8XKCKQ_0_2_z159,0.04181722179055214,0.006460585165768862,21.897281704232952,0.650141655690179,0.2551276683807373
YG_0KEDXC8XKCKQ_0_2_z162,0.04908687248826027,0.007362525910139084,21.329731749071676,0.6546054959599784,0.25461533665657043
YG_0KEDXC8XKCKQ_0_2_z165,0.05270101875066757,0.009578350931406021,20.18709287800975,0.61940900405948,0.3445756435394287
YG_0KEDXC8XKCKQ_1_2_z120,0.06547386944293976,0.01596890203654766,17.96724951263474,0.5450347838871491,0.36386048793792725
YG_0KEDXC8XKCKQ_1_2_z123,0.05207998678088188,0.008513739332556725,20.69879639177057,0.6473462849585033,0.267726868391037
YG_0KEDXC8XKCKQ_1_2_z126,0.048403095453977585,0.00907767191529274,20.42025492501239,0.6248883171625941,0.28669795393943787
YG_0KEDXC8XKCKQ_1_2_z129,0.05331647768616676,0.009992648847401142,20.003194234839526,0.5956924595261456,0.3031800091266632
YG_0KEDXC8XKCKQ_1_2_z132,0.05127710849046707,0.009123824536800385,20.398230893821655,0.5980779679300485,0.26328545808792114
YG_0KEDXC8XKCKQ_1_2_z135,0.054984383285045624,0.0090186083689332,20.448604940179273,0.583588446685194,0.2491087019443512
YG_0KEDXC8XKCKQ_1_2_z138,0.050529275089502335,0.00926729291677475,20.330471181419263,0.56326651283368,0.3206935226917267
YG_0KEDXC8XKCKQ_1_2_z141,0.04678290709853172,0.007998963817954063,20.96966266459828,0.6403283556011561,0.208571195602417
YG_0KEDXC8XKCKQ_1_2_z144,0.04955294355750084,0.008702237159013748,20.603690645708063,0.6139402331368868,0.26075971126556396
YG_0KEDXC8XKCKQ_1_2_z147,0.05173242837190628,0.009263493120670319,20.332252025149288,0.573597554550843,0.3074432611465454
YG_0KEDXC8XKCKQ_1_2_z150,0.05154034495353699,0.00880339927971363,20.553496141841542,0.5814791294049254,0.30098757147789
YG_0KEDXC8XKCKQ_1_2_z153,0.05608828738331795,0.009185218252241611,20.369105767780038,0.5306057957295198,0.38345998525619507
YG_0KEDXC8XKCKQ_1_2_z156,0.06060278043150902,0.010517475195229053,19.78088501080235,0.5095304778775096,0.4282839000225067
YG_0KEDXC8XKCKQ_1_2_z159,0.057119160890579224,0.010425511747598648,19.819026339661477,0.5492486196788389,0.3368968963623047
YG_0KEDXC8XKCKQ_1_2_z162,0.04785211756825447,0.007422575727105141,21.294453381190564,0.6340665582305501,0.2939693033695221
YG_0KEDXC8XKCKQ_1_2_z165,0.04234131798148155,0.006566058378666639,21.82695254066456,0.6584816374394179,0.2406339943408966
YG_0KEDXC8XKCKQ_1_2_z168,0.04126967117190361,0.006234984379261732,22.05164620862567,0.6660804042398903,0.2562929391860962
YG_0KEDXC8XKCKQ_1_2_z171,0.037068720906972885,0.005730697885155678,22.417925142514484,0.7021660909835048,0.19061517715454102
