,mean,std
mae,0.07070054861438686,0.010866884360926981
mse,0.015437905321127637,0.0038683728734350636
psnr,18.243065240364835,1.0524765576230883
ssim,0.5070398741462336,0.048271986225529806
lpips,0.41579141607684167,0.03984715028145835
